"id","label","name"
"793","9606","ILKAP"
"794","9606","LIMS1"
"795","9606","DNM2"
"796","9606","SHANK1"
"797","9606","BLMH"
"798","9606","PPP2R5D"
"799","9606","COPS5"
"800","9606","CFTR"
"801","9606","GOPC"
"802","9606","SLBP"
"803","9606","ERI1"
"804","9606","SCAMP1"
"805","9606","ITSN1"
"806","9606","IPCEF1"
"807","9606","CYTH2"
"808","9606","NR0B1"
"809","9606","HEXIM1"
"810","9606","RGS4"
"811","9606","COPB2"
"812","9606","MAP3K3"
"813","9606","MAP2K5"
"814","9606","SNAP23"
"815","9606","SNAPIN"
"816","9606","ARNTL"
"817","9606","RANBP3"
"818","9606","GOLGA2"
"819","9606","GORASP2"
"820","9606","MAGOH"
"821","9606","RBM8A"
"822","9606","ASIC3"
"823","9606","IL1RAP"
"824","9606","TOLLIP"
"825","9606","PPP1R8"
"826","9606","EIF4A1"
"827","9606","RND1"
"828","9606","ARHGAP5"
"829","9606","RND3"
"830","9606","HNRNPAB"
"831","9606","TP63"
"832","9606","NR1H4"
"833","9606","NCOA1"
"834","9606","APBA2"
"835","9606","CLSTN1"
"836","9606","FYB"
"837","9606","PRKAB1"
"838","9606","PRKAG1"
"839","9606","PRKAG2"
"840","9606","PRKAB2"
"841","9606","RGPD5"
"842","9606","TNPO1"
"843","9606","DNMT3A"
"844","9606","CDC5L"
"845","9606","PPL"
"846","9606","KAZN"
"847","9606","SAFB"
"848","9606","SAFB2"
"849","9606","MAPK10"
"850","9606","MAPK11"
"851","9606","HDAC3"
"852","9606","SMAD7"
"853","9606","TRIP6"
"854","9606","LPAR2"
"855","9606","LHX2"
"856","9606","E2F6"
"857","9606","RYBP"
"858","9606","POLE2"
"859","9606","SAP18"
"860","9606","BTG1"
"861","9606","PRMT1"
"862","9606","RNF216"
"863","9606","TLR3"
"864","9606","TLR4"
"865","9606","TLR5"
"866","9606","ENAH"
"867","9606","ABI1"
"868","9606","SLC31A1"
"869","9606","SRSF7"
"870","9606","DUSP11"
"871","9606","NEDD9"
"872","9606","SRRM2"
"873","9606","PNN"
"874","9606","MCL1"
"875","9606","MVD"
"876","9606","BTAF1"
"877","9606","FANCA"
"878","9606","CHD4"
"879","9606","ARHGEF7"
"880","9606","FNBP1"
"881","9606","TNKS"
"882","9606","BIRC5"
"883","9606","AURKB"
"884","9606","TNFRSF25"
"885","9606","TRADD"
"886","9606","PABPC4"
"887","9606","RABIF"
"888","9606","RIPK3"
"889","9606","RIPK1"
"890","9606","MYH13"
"891","9606","MALT1"
"892","9606","BCL10"
"893","9606","AP1S1"
"894","9606","AP1G2"
"895","9606","AP1S2"
"896","9606","VAMP4"
"897","9606","AP1M1"
"898","9606","MBD2"
"899","9606","GPN1"
"900","9606","MBD3L1"
"901","9606","MBD3"
"902","9606","CHD8"
"903","9606","HUNK"
"904","9606","UBOX5"
"905","9606","UBE2L3"
"906","9606","HIC1"
"907","9606","SLC22A4"
"908","9606","PDZK1IP1"
"909","9606","SLC22A12"
"910","9606","DNM1L"
"911","9606","GSK3B"
"912","9606","CCNT2"
"913","9606","CUL4A"
"914","9606","CUL2"
"915","9606","RAB27A"
"916","9606","SYTL4"
"917","9606","TROAP"
"918","9606","RGS6"
"919","9606","DMAP1"
"920","9606","EIF3G"
"921","9606","TACC3"
"922","9606","AKAP9"
"923","9606","DIS3"
"924","9606","ZBTB17"
"925","9606","PLCB2"
"926","9606","TRPM7"
"927","9606","PLXNB2"
"928","9606","GRHPR"
"929","9606","VPS37C"
"930","9606","GNA13"
"931","9606","AKAP3"
"932","9606","GRAP2"
"933","9606","GAB1"
"934","9606","CCNDBP1"
"935","9606","ANAPC5"
"936","9606","PABPC1"
"937","9606","ITGAE"
"938","9606","TOM1"
"939","9606","TNIP1"
"940","9606","PDCD6IP"
"941","9606","PRDX4"
"942","9606","CLPB"
"943","9606","STK16"
"944","9606","NAGK"
"945","9606","NCKAP1"
"946","9606","GADD45G"
"947","9606","GADD45GIP1"
"948","9606","PACSIN2"
"949","9606","PACSIN3"
"950","9606","SPTBN2"
"951","9606","KCNJ1"
"952","9606","SLC9A3R1"
"953","9606","UPF3A"
"954","9606","NBL1"
"955","9606","P4HB"
"956","9606","TARBP2"
"957","9606","EEA1"
"958","9606","RAB22A"
"959","9606","URI1"
"960","9606","CNKSR1"
"961","9606","RASSF1"
"962","9606","PARP4"
"963","9606","MVP"
"964","9606","FHL5"
"965","9606","HDAC2"
"966","9606","DISC1"
"967","9606","FEZ1"
"968","9606","SNX9"
"969","9606","ADAM15"
"970","9606","TLR9"
"971","9606","RAB11FIP4"
"972","9606","RAB11A"
"973","9606","IFITM2"
"974","9606","TRIM10"
"975","9606","RHOQ"
"976","9606","EXOC7"
"977","9606","PBLD"
"978","9606","STRAP"
"979","9606","XRN2"
"980","9606","ABI3"
"981","9606","ABI3BP"
"982","9606","PINX1"
"983","9606","PACSIN1"
"984","9606","TXNIP"
"985","9606","ZBTB32"
"986","9606","CSPG5"
"987","9606","ZMYND8"
"988","9606","TNK2"
"989","9606","IPO13"
"990","9606","PAX6"
"991","9606","PLCB1"
"992","9606","OSTM1"
"993","9606","RGS17"
"994","9606","RGS20"
"995","9606","ORC6"
"996","9606","AP4E1"
"997","9606","AP4B1"
"998","9606","CENPK"
"999","9606","SOX6"
"1000","9606","VPS11"
"1001","9606","EXOSC8"
"1002","9606","N4BP1"
"1003","9606","LSM2"
"1004","9606","LSM10"
"1005","9606","POLD2"
"1006","9606","RAB29"
"1007","9606","COL23A1"
"1008","9606","KCTD3"
"1009","9606","THUMPD3"
"1010","9606","ECT2"
"1011","9606","PARD6A"
"1012","9606","MAP1S"
"1013","9606","CECR2"
"1014","9606","HEBP2"
"1015","9606","HSPB8"
"1016","9606","HSPB1"
"1017","9606","CCT5"
"1018","9606","THEG"
"1019","9606","PPFIA1"
