VertexID:ID,label,name
11510,9606,TBC1D21
13904,9606,FGGY
3512,9606,KRT77
6169,9606,TPD52
1772,9606,DYNC1I2
3797,9606,GBF1
13946,9606,LRP10
2974,9606,EPHA5
9509,9606,ZNF579
2653,9606,PRPH
6806,9606,TMBIM6
10403,9606,RBM6
12922,9606,KRT222
5498,9606,NIPBL
2957,9606,NUP153
6068,9606,KCNG3
5188,9606,ATPIF1
3567,9606,ENSA
6026,9606,APOF
3268,9606,RGS10
11230,9606,MRPS18A
9686,9606,PRDM10
10151,9606,SPIN3
12244,9606,EFHC2
7526,9606,MLXIPL
10561,9606,TBC1D10B
9462,9606,ACAD11
9763,9606,SRSF8
6495,9606,SNAPC3
5122,9606,ASIC1
7575,9606,DDX58
13983,9606,FRMPD2
2608,9606,MYD88
2092,9606,VASP
12419,9606,OR8H2
6094,9606,DAG1
2887,559292,FCF1
721,9606,VPS37A
2294,9606,MEOX2
3356,9606,MKKS
13894,9606,RASEF
1014,9606,HEBP2
7281,9606,CYR61
7801,9606,USP42
1987,9606,GPSM1
11851,9606,WBP1L
13329,9606,ITM2A
779,9606,YEATS4
3246,9606,RACGAP1
12366,9606,SLC22A16
5128,9606,DIAPH2
8881,9606,H2AFV
3247,9606,TIMM13
10452,9606,TCF24
13450,9606,VWA2
14665,9606,NLRP9
4629,9606,RYR2
1473,9606,USHBP1
3171,9606,IGF2BP1
3066,9606,NELFCD
9986,9606,ISOC1
234,9606,COTL1
10747,9606,RPL26L1
3863,9606,EPHA3
5086,9606,UBE2E1
6932,9606,NFKBIZ
13564,9606,CLEC18A
3996,9606,LIPG
5307,9606,HYLS1
12335,9606,IMPG1
10171,9606,MSMO1
5023,9606,MLLT10
462,9606,RAD23A
13762,9606,ASIC4
5171,9606,ARSE
6451,9606,PKLR
12177,9606,PPP1R26
7604,9606,ABTB2
13272,9606,NYAP2
1961,9606,ASH2L
12623,9606,CHST4
5422,9606,OLFM2
12336,9606,TEX15
1617,9606,LLPH
11432,9606,IFNW1
8346,9606,RNF19B
181,9606,GANAB
8936,9606,FBXO21
4498,9606,SPDYA
4472,9606,WIPF3
2603,9606,C8orf48
12543,9606,ST3GAL1
7590,9606,PRMT3
13802,9606,C6orf120
12441,9606,ATP13A1
14845,9606,CTSW
7272,9606,DNAJC8
6276,9606,PPP2R5C
10313,9606,RPRD1A
11406,9606,GNLY
6255,9606,MYOG
6482,9606,PITPNM1
11855,9606,ZFAND2A
6936,9606,CDH4
2566,9606,TMSB4Y
1238,559292,MRPL28
848,9606,SAFB2
2670,9606,S100A2
2239,9606,CFDP1
14796,9606,ATP10A
4059,9606,NCLN
2894,9606,GLRX
12400,9606,TMEM252
1137,9606,SEPT8
1528,9606,RTN3
14723,9606,DHRS7C
4736,9606,ANK3
13686,9606,WLS
519,9606,WBP11
14905,9606,PLEKHA3
3285,9606,RPS19
14212,9606,OR2K2
10209,9606,RBM47
2081,9606,GCC1
9252,9606,SGK2
12624,9606,CLEC18C
13733,9606,R3HCC1
7900,9606,LAMB4
2256,9606,GSTZ1
11466,9606,LINGO2
10175,9606,DOLPP1
2194,9606,SH3BP5L
2990,9606,MMP14
6675,9606,POGZ
4235,9606,MKL1
3326,9606,RAB25
8923,9606,TRA2A
6955,9606,UBE2J1
904,9606,UBOX5
9738,9606,CRNN
11907,9606,OR7G3
11668,9606,MRPL57
2550,9606,ZSWIM2
3167,9606,EIF3D
2360,9606,ZNF136
2497,9606,SRI
5318,9606,BTBD10
10521,9606,LMAN2
12587,9606,SLC2A5
14759,9606,TAC4
3591,9606,HLA-A
6880,9606,STRIP2
4766,9606,EMP2
12956,9606,PALM2-AKAP2
8455,9606,KRT13
5672,9606,GIPC2
12613,9606,ACSS3
9710,9606,MAGEF1
13285,9606,SLC22A23
1341,559292,FPR3
14501,9606,SIGLEC12
12889,9606,TBC1D22A
4884,9606,PARP9
5559,9606,TXNDC9
8956,9606,IVD
3351,9606,MEN1
3035,9606,PSMD12
1476,9606,L3MBTL2
4831,9606,TOP2A
14248,9606,FOXD2
174,9606,FGF7
1216,559292,NMD3
1365,559292,GAS1
3777,9606,CLEC2L
10054,9606,TMEM159
9070,9606,NCR3LG1
12026,9606,SDR39U1
11484,9606,DNAAF2
12525,9606,GPR22
11615,9606,ATP6V1F
14269,9606,SUCNR1
11338,9606,GSTA3
6983,9606,RAB33B
7309,9606,CD3G
1033,9606,NCOA2
10680,9606,KLHL26
11012,9606,CACNA1G
14528,9606,CD164L2
4557,9606,NIN
824,9606,TOLLIP
796,9606,SHANK1
6082,9606,KLRK1
13508,9606,ATP6V0E2
